60
4.72,13.7
5.07,14.6
5.77,15.1
6.47,14.1
6.12,13.8
5.97,13.1
5.47,12.5
4.22,12.4
3.92,14.2
11.47,15.7
11.47,15.1
11.22,14.4
12.27,14.5
13.52,15.75
12.77,16.65
12.47,15.7
13.57,15
12.92,15
12.77,13.7
20.42,9.85
20.92,10.2
20.72,9.45
21.37,9.6
21.67,10.3
20.97,11.25
20.32,10.8
19.87,10.35
19.77,9.85
19.72,9.25
12.87,7.55
13.07,7.05
12.27,6.85
12.82,6.55
13.07,5.6
12.47,6.1
11.87,6.15
11.52,6.7
11.82,7.65
13.42,6.4
12.07,5.2
17.47,14.15
13.67,12.75
11.62,9.7
8.42,9.4
9.92,12.4
13.92,10.85
17.17,8.85
16.32,4.85
6.67,3.65
5.42,7.55
20.32,5.35
19.42,15.65
15.32,16.35
8.87,15.55
2.32,10.35
2.62,6.6
9.62,5.5
2.37,3.35
14.17,8.35
16.62,10.75
